Dataset,DKTPLUS,DKVMN,FCN,KQN,LSTM,RNN,SAKT
KT2,0.78,0.83,0.76,0.81,0.84,0.84,0.85
KT3,0.796,0.81,0.78,0.83,0.83,0.83,0.84
KT4,0.79,0.8,0.77,0.82,0.8,0.8,0.83
algebra05,0.7860000000000001,0.82,0.78,0.82,0.794,0.7860000000000001,0.774
assist2009,0.8320000000000001,0.85,0.8100000000000002,0.85,0.8160000000000001,0.8320000000000001,0.858
assist2015,0.73,0.76,0.748,0.71,0.7139999999999999,0.73,0.8699999999999999
assistChall,0.69,0.67,0.62,0.73,0.69,0.69,0.642
bridge_algebra06,0.67,0.71,0.68,0.74,0.686,0.67,0.686
kddcup2010,0.77,0.82,0.8100000000000002,0.82,0.79,0.77,0.7840000000000001
nips_task_3_4,0.7,0.71,0.68,0.7703457298278809,0.76,0.74,0.69
spanish,0.7860000000000001,0.8299999999999998,0.7460000000000001,0.83,0.792,0.7860000000000001,0.77
statics,0.794,0.82,0.8,0.83,0.8219999999999998,0.794,0.742
synthetic,0.804,0.8299999999999998,0.67,0.83,0.798,0.804,0.8080000000000002
